date_time_(UTC)	channel	duration	https://archive.org/details/	text
2018-02-20 00:01:00	CNNW	51	CNNW_20180220_000000_Erin_Burnett_OutFront/start/60	SPECIAL COUNSEL MUELLER INQUIRING ABOUT JARED. KUSHNER'S TALKS WITH POTENTIAL CHINESE INVESTOR\nTRUMP RETURNS TO WH AMID NEW DEVELOPMENTS IN RUSSIA PROBE
2018-02-20 00:01:00	FOXNEWSW	34	FOXNEWSW_20180220_000000_The_Story_With_Martha_MacCallum/start/60	INTEL COMMUNITY UNDER FIRE FOR IGNORING. WARNINGS OF RUSSIAN INTERFERENCE IN 2O16\nNEW QUESTIONS OVER OBAMA IGNORING. WARNINGS ABOUT RUSSIAN MEDDLING
2018-02-20 00:02:00	BBCNEWS	12	BBCNEWS_20180220_000000_Newsday/start/120	FLORIDA SHOOTING. While House: Trump supports e\ufb02ons m improve gun checks\nFLORIDA SHOOTING. Group of survivors announce march on Washington\nFLORIDA SHOOTING. March For Our Lives demanding changes to gun...
2018-02-20 00:03:00	BBCNEWS	11	BBCNEWS_20180220_000000_Newsday/start/180	FLORIDA SHOOTING. Group of survivors announce march on Washington\nFLORIDA SHOOTING. . Wh'ne House: Trump supports e\ufb02ons to improve gun checks\nFLORIDA SHOOTING. March For Our Lives demanding changes...
2018-02-20 00:03:00	CNNW	35	CNNW_20180220_000000_Erin_Burnett_OutFront/start/180	MUELLER INTERESTED IN KUSHNER'S FOREIGN FINANCING EFFORTS. . Shimon Prokupecz CNN Crime and Justice Reporter\nMUELLER INTERESTED IN KUSHNER'S FOREIGN FINANCING EFFORTS
2018-02-20 00:03:00	FOXNEWSW	21	FOXNEWSW_20180220_000000_The_Story_With_Martha_MacCallum/start/180	TRUMP: WHY DIDN'T OBAMA DO SOMETHING. ABOUT RUSSIA MEDDLING IN 2O16 ELECTION?\nlUMP BLAMES OBAMA FOR RUSSIAN INTERFERENCE I\nTOP DEM SAYS OBAMA SHARES RESPONSIBILITY. FOR RUSSIA MEDDLING IN 2O16 ELECTION _-
2018-02-20 00:03:00	MSNBCW	4	MSNBCW_20180220_000000_Hardball_With_Chris_Matthews/start/180	TRUMP: \"NOBODY REALLY KNOWS\" WHETHER. RUSSIA INTFDFFDFI') IN us, Fl FCTIONS
2018-02-20 00:05:00	BBCNEWS	10	BBCNEWS_20180220_000000_Newsday/start/300	NEWSDAV\nFLORIDA SHOOTING. Trump rebuked FBI for missing signals before shooting\nFLORIDA SHOOTING. Group of survivors announce march on...
2018-02-20 00:05:00	CNNW	29	CNNW_20180220_000000_Erin_Burnett_OutFront/start/300	TRUMP RETURNS TO WH AMID NEW DEVELOPMENTS IN RUSSIA PROBE\nTRUMP RETURNS TO WH AMID NEW DEVELOPMENTS IN RUSSIA PROBE. . Jeff Zeleny OW Senior White House Correspondent\nSPECIAL COUNSEL MUELLER...
2018-02-20 00:05:00	FOXNEWSW	13	FOXNEWSW_20180220_000000_The_Story_With_Martha_MacCallum/start/300	TRUMP: WHY DIDN' T OBAMA DO SOMETHING. ABOUT RUSSIA MEDDLING IN 2O16 ELECTION?. . 'T'hn\ufb02tnww\ufb02f'nvn aura nnm \\\nI\u00bb PHILIPPE REINES 1 FORMER ADVISOR TO HILLARY CLINTON. . TRUMP: WHY DIDN'T OBAMA DO SOMETHING. ARnllT pnccm Manl um: IN on\u201d. n...
2018-02-20 00:05:00	MSNBCW	29	MSNBCW_20180220_000000_Hardball_With_Chris_Matthews/start/300	TRUMP UNLEASHES CONTENTIOUS TWEETSTORM\nTRUMP GOES AFTER FBI, OBAMA, OPRAH AND. \"I Innl F' ADAM SCHIFF\" IN TWFFTSTODM\nJENNIFER RUBIN X curmusmngtonmst
2018-02-20 00:07:00	BBCNEWS	15	BBCNEWS_20180220_000000_Newsday/start/420	MALDIVES STATE OF EMERGENCY. President fails to get support for extension\nINDONESIA VOLCANO ERUPTS. Mount Sinubung spews 7km ash cloud into the air\nRUSSIAN DOPING SCANDAL. Krushelnitsky has now lett the...
2018-02-20 00:07:00	FOXNEWSW	29	FOXNEWSW_20180220_000000_The_Story_With_Martha_MacCallum/start/420	INTEL COMMUNITY UNDER FIRE FOR IGNORING. WARNINGS OF RUSSIAN INTERFERENCE IN 2O16. . 'F'h n\ufb02tnnv\ufb02f'nvn aura nnm
2018-02-20 00:07:00	MSNBCW	33	MSNBCW_20180220_000000_Hardball_With_Chris_Matthews/start/420	TRUMP UNLEASHES CONTENTIOUS TWEETSTORM\nTRUMP FALSELY CLAIMS \"I NEVER SAID. pussm DID NOT Man F IN THF Fl FCTION\"\nJONATHAN SWAN | AXIos
2018-02-20 00:08:00	CNNW	47	CNNW_20180220_000000_Erin_Burnett_OutFront/start/480	MUELLER INTERESTED IN KUSHNER'S FOREIGN FINANCING EFFORTS. . Rep. Karen Bass (D) Judiciary Committee\nMUELLER INTERESTED IN KUSHNER'S FOREIGN FINANCING EFFORTS
2018-02-20 00:09:00	BBCNEWS	3	BBCNEWS_20180220_000000_Newsday/start/540	NEWSDAV
2018-02-20 00:09:00	CNNW	30	CNNW_20180220_000000_Erin_Burnett_OutFront/start/540	MUELLER INTERESTED IN KUSHNER'S FOREIGN FINANCING EFFORTS\nMUELLER INTERESTED IN KUSHNER'S FOREIGN FINANCING EFFORTS. . Rep. Karen Bass (D) Foreign Affairs Committee\nMUELLER INTERESTED IN...
2018-02-20 00:09:00	MSNBCW	27	MSNBCW_20180220_000000_Hardball_With_Chris_Matthews/start/540	TRUMP TWEET UNDERCUTS NSA MCMASTER\u2019S RUSSIA REMARK\nMCMASTER CALLS RUSSIAN INTERFERENCE \"INCONTROVERTIBLE\u201d
2018-02-20 00:11:00	MSNBCW	29	MSNBCW_20180220_000000_Hardball_With_Chris_Matthews/start/660	TRUMP UNLEASHES CONTENTIOUS TWEETSTORM\nREPUBLICANS DISAGREE WITH TRUMP OVER CRITICISM OF FBI\nTRUMP CLAIMS RUSSIA PROBE CREATING. \"nlsconn nlsnup'rlon AND CHAOS\
2018-02-20 00:12:00	CNNW	36	CNNW_20180220_000000_Erin_Burnett_OutFront/start/720	MUELLER INTERESTED IN KUSHNER'S FOREIGN FINANCING EFFORTS. . Rep. Karen Bass (D) Foreign Affairs Committee\nMUELLER INTERESTED IN KUSHNER'S FOREIGN FINANCING EFFORTS
2018-02-20 00:12:00	MSNBCW	34	MSNBCW_20180220_000000_Hardball_With_Chris_Matthews/start/720	REPUBLICANS DISAGREE WITH TRUMP OVER CRITICISM OF FBI\nREPUBLICANS DISAGEEE WITH TRUMP OVER CRITICISM OF FBI\nJONATHAN SWAN | AXIos\nGOV. JOHN KASICH y (R) omo\nSEN. TIM SCOTI' I (R) SOUTH...
2018-02-20 00:13:00	FOXNEWSW	6	FOXNEWSW_20180220_000000_The_Story_With_Martha_MacCallum/start/780	844-TO-TEMPUR. tempurpedic.com
2018-02-20 00:15:00	BBCNEWS	7	BBCNEWS_20180220_000000_Newsday/start/900	FLORIDA SCHOOL SHOOTING
2018-02-20 00:16:00	FOXNEWSW	22	FOXNEWSW_20180220_000000_The_Story_With_Martha_MacCallum/start/960	ROWING LIST OF MISSED SIGNALS IN Fl SHOOTING I\nCCUSED Fl SCHOOL SHOOTER APPEARS IN COURT I\nMBAUGH SLAMS FBI RESPONSE TO SHOOTING E
2018-02-20 00:16:00	MSNBCW	17	MSNBCW_20180220_000000_Hardball_With_Chris_Matthews/start/960	PENNSYLVANIA SUPREME COURT ISSUES NEW. CONGDFSSIONAI MAD AHFAD O|: 9mg MIDTFDMS
2018-02-20 00:17:00	CNNW	3	CNNW_20180220_000000_Erin_Burnett_OutFront/start/1020	PAH] HJH HYTHM STEYEH
2018-02-20 00:18:00	FOXNEWSW	21	FOXNEWSW_20180220_000000_The_Story_With_Martha_MacCallum/start/1080	ROWING LIST OF MISSED SIGNALS IN Fl SHOOTING\nII TAKING HEAT FOR BOTCHED FLORIDA RESPONSE\n.l TAKING HEATJOR- BOTCHED FLORIDA RESPONSE __;
2018-02-20 00:19:00	CNNW	30	CNNW_20180220_000000_Erin_Burnett_OutFront/start/1140	TRUMP BLAMES OBAMA FOR INACTION OVER RUSSIA MEDDLING\nIN TWEETSTORM, TRUMP BLAMES EVERYONE BUT RUSSIA\nIN TWEETSTORM TRUMP BLAMES EVERYONE BUT RUSSIA. . Anna Palmer Senior Washington...
2018-02-20 00:19:00	MSNBCW	21	MSNBCW_20180220_000000_Hardball_With_Chris_Matthews/start/1140	GOP LAWMAKERS OPPOSE BANNING AR-15 SEMI-AUTO RIFLES\nSTUDENTS STAGE \"LIE IN\" PROTEST OUTSIDE WHITE HOUSE\nSTUDENTS CALLF\u2014OR ACTION ON GUN VIOLENCE\nSTUDENTS CALL FOR ACTION ON GUN...
2018-02-20 00:20:00	FOXNEWSW	25	FOXNEWSW_20180220_000000_The_Story_With_Martha_MacCallum/start/1200	FMR ASST DIRECTOR TO FBI: MISSED SIGNALS. IN FLORIDA SHOOTING \"HURT ALL OF US\
2018-02-20 00:21:00	BBCNEWS	4	BBCNEWS_20180220_000000_Newsday/start/1260	NEWSDAV
